subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,time_of_response,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-020,61,1,FALSE,left,approach,pos,cake24_crop.jpg,1,7,TRUE,60,20,EAT                                    DON'T EAT,2383.3584,2379.3386,2144.0488,1,2384.1394,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,781
sub-020,62,1,TRUE,left,avoid,neg,fungus7_crop.jpg,1,7,TRUE,61,20,EAT                                    DON'T EAT,2385.377,2379.3386,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,63,1,FALSE,left,approach,pos,cake32_crop.jpg,1,7,TRUE,62,20,EAT                                    DON'T EAT,2387.3953,2379.3386,2144.0488,1,2388.243,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,847.6999999997206
sub-020,64,1,TRUE,left,avoid,pos,meat16_crop.jpg,1,7,TRUE,63,20,EAT                                    DON'T EAT,2389.4138,2379.3386,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,65,1,FALSE,left,approach,pos,cake26_crop.jpg,1,7,TRUE,64,20,EAT                                    DON'T EAT,2391.4321,2379.3386,2144.0488,1,2392.0178,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,585.7000000001863
sub-020,66,1,FALSE,left,approach,pos,cake15_crop.jpg,1,7,TRUE,65,20,EAT                                    DON'T EAT,2393.4504,2379.3386,2144.0488,1,2394.137,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,686.5999999996275
sub-020,67,1,FALSE,left,approach,pos,cake40_crop.jpg,1,7,TRUE,66,20,EAT                                    DON'T EAT,2395.4688,2379.3386,2144.0488,1,2396.0068,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,538
sub-020,68,1,FALSE,left,approach,pos,cake22_crop.jpg,1,7,TRUE,67,20,EAT                                    DON'T EAT,2397.487,2379.3386,2144.0488,1,2397.96,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,473
sub-020,69,1,FALSE,left,approach,pos,cake11_crop.jpg,1,7,TRUE,68,20,EAT                                    DON'T EAT,2399.5054,2379.3386,2144.0488,1,2400.038,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,532.6000000000931
sub-020,70,1,FALSE,left,approach,pos,cake35_crop.jpg,1,7,TRUE,69,20,EAT                                    DON'T EAT,2401.5237,2379.3386,2144.0488,1,2401.98,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,456.29999999981374
sub-020,71,2,FALSE,left,approach,pos,cake9_crop.jpg,1,8,TRUE,70,20,EAT                                    DON'T EAT,2417.9875,2413.9673,2144.0488,1,2418.7483,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,760.8000000002794
sub-020,72,2,FALSE,left,approach,pos,cake31_crop.jpg,1,8,TRUE,71,20,EAT                                    DON'T EAT,2420.0059,2413.9673,2144.0488,1,2420.5674,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,561.5
sub-020,73,2,FALSE,left,approach,pos,cake14_crop.jpg,1,8,TRUE,72,20,EAT                                    DON'T EAT,2422.0234,2413.9673,2144.0488,1,2422.485,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,461.60000000009313
sub-020,74,2,TRUE,left,avoid,neg,fungus10_crop.jpg,1,8,TRUE,73,20,EAT                                    DON'T EAT,2424.0425,2413.9673,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,75,2,FALSE,left,approach,pos,cake33_crop.jpg,1,8,TRUE,74,20,EAT                                    DON'T EAT,2426.0608,2413.9673,2144.0488,1,2426.779,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,718.1999999997206
sub-020,76,2,TRUE,left,avoid,pos,meat30_crop.jpg,1,8,TRUE,75,20,EAT                                    DON'T EAT,2428.079,2413.9673,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,pos,approach-pos,NA,1,NA
sub-020,77,2,FALSE,left,approach,pos,cake10_crop.jpg,1,8,TRUE,76,20,EAT                                    DON'T EAT,2430.0974,2413.9673,2144.0488,1,2431.1833,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1085.9000000003725
sub-020,78,2,FALSE,left,approach,pos,cake12_crop.jpg,1,8,TRUE,77,20,EAT                                    DON'T EAT,2432.1152,2413.9673,2144.0488,1,2432.8293,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,714.0999999996275
sub-020,79,2,FALSE,left,approach,pos,cake19_crop.jpg,1,8,TRUE,78,20,EAT                                    DON'T EAT,2434.134,2413.9673,2144.0488,1,2434.7239,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,589.8999999999069
sub-020,80,2,FALSE,left,approach,pos,cake13_crop.jpg,1,8,TRUE,79,20,EAT                                    DON'T EAT,2436.1526,2413.9673,2144.0488,1,2436.7468,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,594.1999999997206
sub-020,81,0,FALSE,right,avoid,pos,meat23_crop.jpg,2,9,TRUE,80,20,EAT                                    DON'T EAT,2543.4749,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,82,0,TRUE,right,approach,neg,insect3_crop.jpg,2,9,TRUE,81,20,EAT                                    DON'T EAT,2545.4934,2539.4548,2527.3127,1,2546.4333,left,1,left,left,eat,eat,avoid,pos,avoid-pos,1,1,939.9000000003725
sub-020,83,0,FALSE,right,avoid,pos,meat20_crop.jpg,2,9,TRUE,82,20,EAT                                    DON'T EAT,2547.5117,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,84,0,FALSE,right,avoid,pos,meat17_crop.jpg,2,9,TRUE,83,20,EAT                                    DON'T EAT,2549.53,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,85,0,FALSE,right,avoid,pos,meat38_crop.jpg,2,9,TRUE,84,20,EAT                                    DON'T EAT,2551.548,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
sub-020,86,0,FALSE,right,avoid,pos,meat1_crop.jpg,2,9,TRUE,85,20,EAT                                    DON'T EAT,2553.5667,2539.4548,2527.3127,--,NA,left,2,NA,right,no_response,not_eat,avoid,pos,avoid-pos,NA,1,NA
