TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,RT
118,1,False,left,approach,neg,insect15_crop.jpg,2,12,1.0,117.0,57.0,12.0,DON'T EAT                                    EAT,2486.3633,2468.2314,2349.0005,1,2487.0142
119,1,False,left,approach,neg,insect6_crop.jpg,2,12,1.0,118.0,57.0,12.0,DON'T EAT                                    EAT,2488.382,2468.2314,2349.0005,2,2489.4314
120,1,False,left,approach,neg,insect29_crop.jpg,2,12,1.0,119.0,57.0,12.0,DON'T EAT                                    EAT,2490.4004,2468.2314,2349.0005,2,2491.072
121,3,True,left,avoid,pos,meat32_crop.jpg,2,13,1.0,120.0,57.0,13.0,DON'T EAT                                    EAT,2509.9834,2505.9634,2349.0005,1,2510.8542
122,3,False,left,approach,neg,insect36_crop.jpg,2,13,1.0,121.0,57.0,13.0,DON'T EAT                                    EAT,2512.0017,2505.9634,2349.0005,2,2512.9363
123,3,False,left,approach,neg,insect13_crop.jpg,2,13,1.0,122.0,57.0,13.0,DON'T EAT                                    EAT,2514.02,2505.9634,2349.0005,2,2514.689
124,3,False,left,approach,neg,insect28_crop.jpg,2,13,1.0,123.0,57.0,13.0,DON'T EAT                                    EAT,2516.0383,2505.9634,2349.0005,2,2516.6472
125,3,False,left,approach,neg,insect11_crop.jpg,2,13,1.0,124.0,57.0,13.0,DON'T EAT                                    EAT,2518.0562,2505.9634,2349.0005,2,2518.577
126,3,False,left,approach,neg,insect16_crop.jpg,2,13,1.0,125.0,57.0,13.0,DON'T EAT                                    EAT,2520.075,2505.9634,2349.0005,2,2520.526
127,3,True,left,avoid,neg,fungus28_crop.jpg,2,13,1.0,126.0,57.0,13.0,DON'T EAT                                    EAT,2522.0933,2505.9634,2349.0005,1,2522.8384
128,3,False,left,approach,neg,insect38_crop.jpg,2,13,1.0,127.0,57.0,13.0,DON'T EAT                                    EAT,2524.1116,2505.9634,2349.0005,2,2524.752
129,3,False,left,approach,neg,insect34_crop.jpg,2,13,1.0,128.0,57.0,13.0,DON'T EAT                                    EAT,2526.1301,2505.9634,2349.0005,2,2526.8218
130,3,False,left,approach,neg,insect24_crop.jpg,2,13,1.0,129.0,57.0,13.0,DON'T EAT                                    EAT,2528.1477,2505.9634,2349.0005,2,2528.859
131,2,False,left,approach,pos,cake40_crop.jpg,2,14,1.0,130.0,57.0,14.0,DON'T EAT                                    EAT,2545.079,2541.0586,2349.0005,2,2545.9175
132,2,False,left,approach,pos,cake24_crop.jpg,2,14,1.0,131.0,57.0,14.0,DON'T EAT                                    EAT,2547.0974,2541.0586,2349.0005,2,2547.7783
133,2,True,left,avoid,pos,meat8_crop.jpg,2,14,1.0,132.0,57.0,14.0,DON'T EAT                                    EAT,2549.1157,2541.0586,2349.0005,1,2550.0479
134,2,False,left,approach,pos,cake3_crop.jpg,2,14,1.0,133.0,57.0,14.0,DON'T EAT                                    EAT,2551.1338,2541.0586,2349.0005,2,2551.837
135,2,False,left,approach,pos,cake36_crop.jpg,2,14,1.0,134.0,57.0,14.0,DON'T EAT                                    EAT,2553.1523,2541.0586,2349.0005,2,2554.0327
136,2,False,left,approach,pos,cake22_crop.jpg,2,14,1.0,135.0,57.0,14.0,DON'T EAT                                    EAT,2555.171,2541.0586,2349.0005,2,2555.8525
137,2,False,left,approach,pos,cake23_crop.jpg,2,14,1.0,136.0,57.0,14.0,DON'T EAT                                    EAT,2557.1895,2541.0586,2349.0005,2,2557.8047
138,2,False,left,approach,pos,cake1_crop.jpg,2,14,1.0,137.0,57.0,14.0,DON'T EAT                                    EAT,2559.207,2541.0586,2349.0005,2,2559.837
